modern_site_code,class,year_1870,year_2017,historical_site_code,longitude,latitude,ID,lc_change
AVLC1,Shola Grassland,1,0,AVLC,76.603,11.302,1,-1
AVLC2,Shola Grassland,1,1,AVLC,76.592,11.299,2,0
BGOT1,Settlements,1,1,BGOT,76.714,11.42,3,0
BGOT1,Shola Forest,1,0,BGOT,76.714,11.42,3,-1
BGOT1,Shola Grassland,1,0,BGOT,76.714,11.42,3,-1
BVLR1,Shola Forest,1,1,BVLR,76.835,11.351,4,0
BVLR1,Shola Grassland,1,0,BVLR,76.835,11.351,4,-1
CNRG1,Shola Forest,1,0,CNRG,76.805,11.345,6,-1
CNRG1,Shola Grassland,1,0,CNRG,76.805,11.345,6,-1
CNRG2,Shola Forest,1,0,CNRG,76.79,11.339,7,-1
CNRG2,Shola Grassland,1,0,CNRG,76.79,11.339,7,-1
DDBT1,Shola Grassland,1,0,DDBT,76.73558,11.4015,8,-1
EMVL1,Shola Forest,1,1,EMVL,76.58027,11.35123,9,0
EMVL1,Shola Grassland,1,0,EMVL,76.58027,11.35123,9,-1
EMVL2,Shola Forest,1,1,EMVL,76.594,11.348,10,0
EMVL2,Shola Grassland,1,0,EMVL,76.594,11.348,10,-1
FHEK1,Shola Forest,1,1,FHEK,76.914,11.459,11,0
FHEK1,Shola Grassland,1,0,FHEK,76.914,11.459,11,-1
GDLR2,Shola Grassland,1,0,GDLR,76.52622,11.49314,13,-1
GVSL1,Shola Grassland,1,0,GVSL,76.64279,11.39221,14,-1
HTHP1,Shola Forest,1,1,HTHP,76.817,11.35,15,0
HTHP1,Shola Grassland,1,0,HTHP,76.817,11.35,15,-1
KDND1,Shola Grassland,1,0,KDND,76.7,11.4667,16,-1
KKTG1,Shola Grassland,1,0,KKTG,76.936,11.452,19,-1
KLHT1,Shola Grassland,1,0,KLHT,76.68286,11.460672,20,-1
KMFD1,Shola Grassland,1,0,KMFD,76.896385,11.469283,21,-1
KMFD2,Shola Forest,1,0,KMFD,76.91277,11.4477,22,-1
KMFD2,Shola Grassland,1,0,KMFD,76.91277,11.4477,22,-1
KNSL1,Shola Forest,1,0,KNSL,76.906,11.451,23,-1
KNSL1,Shola Grassland,1,0,KNSL,76.906,11.451,23,-1
KUKL1,Shola Grassland,1,0,KUKL,76.863,11.433,24,-1
LDNH2,Shola Forest,1,1,LVDL,76.6962,11.36707,27,0
LDNH2,Shola Grassland,1,0,LVDL,76.6962,11.36707,27,-1
LWSL1,Shola Forest,1,1,LWSL,76.873,11.439,28,0
LWSL1,Shola Grassland,1,0,LWSL,76.873,11.439,28,-1
NDVT1,Shola Forest,1,0,NDVT,76.549,11.488,29,-1
NDVT1,Shola Grassland,1,0,NDVT,76.549,11.488,29,-1
NDVT2,Shola Forest,1,1,NDVT,76.548,11.478,30,0
NDVT2,Shola Grassland,1,0,NDVT,76.548,11.478,30,-1
OTCM1,Settlements,1,1,OTCM,76.696,11.412,31,0
OTCM1,Shola Grassland,1,0,OTCM,76.696,11.412,31,-1
OTCM2,Shola Forest,1,0,OTCM,76.708,11.399,32,-1
OTCM2,Shola Grassland,1,0,OTCM,76.708,11.399,32,-1
OTCM3,Shola Forest,1,1,OTCM,76.70851,11.38741,33,0
OTCM3,Shola Grassland,1,0,OTCM,76.70851,11.38741,33,-1
RNMD1,Settlements,1,0,RNMD,76.796,11.332,34,-1
RNMD1,Shola Forest,1,0,RNMD,76.796,11.332,34,-1
RNMD1,Shola Grassland,1,0,RNMD,76.796,11.332,34,-1
RNMD2,Shola Forest,1,0,RNMD,76.783,11.328,35,-1
RNMD2,Shola Grassland,1,0,RNMD,76.783,11.328,35,-1
SMPK2,Shola Grassland,1,0,SMPK,76.799,11.356,36,-1
TMTE1,Shola Grassland,1,0,TMTE,76.705255,11.281124,37,-1
TSTE1,Shola Forest,1,1,TSTE,76.61246,11.21223,38,0
TSTE1,Shola Grassland,1,0,TSTE,76.61246,11.21223,38,-1
WLTN1,Shola Grassland,1,0,WLTN,76.789,11.365,39,-1
WLTN2,Settlements,1,0,WLTN,76.779,11.355,40,-1
WLTN2,Shola Grassland,1,0,WLTN,76.779,11.355,40,-1
WTCM1,Shola Forest,1,1,WTCM,76.561,11.344,41,0
WTCM1,Shola Grassland,1,0.5,WTCM,76.561,11.344,41,-0.5
WTCM2,Shola Grassland,1,1,WTCM,76.552,11.333,42,0
AVLC1,Plantations (Tea & Timber),0,0.3333333333333333,AVLC,76.603,11.302,1,0.3333333333333333
AVLC1,Shola Forest,0,1,AVLC,76.603,11.302,1,1
AVLC2,Plantations (Tea & Timber),0,0.5,AVLC,76.592,11.299,2,0.5
AVLC2,Shola Forest,0,1,AVLC,76.592,11.299,2,1
BGOT1,Agricultural Land,0,0.3333333333333333,BGOT,76.714,11.42,3,0.3333333333333333
BGOT1,Plantations (Tea & Timber),0,0.25,BGOT,76.714,11.42,3,0.25
BVLR1,Plantations (Tea & Timber),0,1,BVLR,76.835,11.351,4,1
BVLR1,Settlements,0,0.33333333333333337,BVLR,76.835,11.351,4,0.33333333333333337
CNRG1,Agricultural Land,0,0.3333333333333333,CNRG,76.805,11.345,6,0.3333333333333333
CNRG1,Plantations (Tea & Timber),0,0.25,CNRG,76.805,11.345,6,0.25
CNRG1,Settlements,0,1,CNRG,76.805,11.345,6,1
CNRG2,Agricultural Land,0,0.5,CNRG,76.79,11.339,7,0.5
CNRG2,Plantations (Tea & Timber),0,1,CNRG,76.79,11.339,7,1
CNRG2,Settlements,0,0.5,CNRG,76.79,11.339,7,0.5
DDBT1,Plantations (Tea & Timber),0,0.33333333333333337,DDBT,76.73558,11.4015,8,0.33333333333333337
DDBT1,Shola Forest,0,1,DDBT,76.73558,11.4015,8,1
EMVL1,Plantations (Tea & Timber),0,0.19999999999999998,EMVL,76.58027,11.35123,9,0.19999999999999998
EMVL2,Plantations (Tea & Timber),0,0.3333333333333333,EMVL,76.594,11.348,10,0.3333333333333333
EMVL2,Settlements,0,1,EMVL,76.594,11.348,10,1
FHEK1,Plantations (Tea & Timber),0,0.16666666666666669,FHEK,76.914,11.459,11,0.16666666666666669
GDLR2,Plantations (Tea & Timber),0,1,GDLR,76.52622,11.49314,13,1
GVSL1,Agricultural Land,0,0.5,GVSL,76.64279,11.39221,14,0.5
GVSL1,Plantations (Tea & Timber),0,0.125,GVSL,76.64279,11.39221,14,0.125
GVSL1,Settlements,0,1,GVSL,76.64279,11.39221,14,1
HTHP1,Plantations (Tea & Timber),0,0.5,HTHP,76.817,11.35,15,0.5
KDND1,Agricultural Land,0,0.5,KDND,76.7,11.4667,16,0.5
KDND1,Plantations (Tea & Timber),0,0.25,KDND,76.7,11.4667,16,0.25
KKTG1,Plantations (Tea & Timber),0,0.5,KKTG,76.936,11.452,19,0.5
KKTG1,Settlements,0,0.33333333333333337,KKTG,76.936,11.452,19,0.33333333333333337
KLHT1,Agricultural Land,0,0.5,KLHT,76.68286,11.460672,20,0.5
KLHT1,Plantations (Tea & Timber),0,0.5,KLHT,76.68286,11.460672,20,0.5
KLHT1,Settlements,0,0.3333333333333333,KLHT,76.68286,11.460672,20,0.3333333333333333
KMFD1,Agricultural Land,0,0.3333333333333333,KMFD,76.896385,11.469283,21,0.3333333333333333
KMFD1,Plantations (Tea & Timber),0,0.5,KMFD,76.896385,11.469283,21,0.5
KMFD2,Plantations (Tea & Timber),0,0.33333333333333337,KMFD,76.91277,11.4477,22,0.33333333333333337
KMFD2,Settlements,0,1,KMFD,76.91277,11.4477,22,1
KNSL1,Plantations (Tea & Timber),0,0.19999999999999998,KNSL,76.906,11.451,23,0.19999999999999998
KNSL1,Settlements,0,1,KNSL,76.906,11.451,23,1
KUKL1,Agricultural Land,0,1,KUKL,76.863,11.433,24,1
KUKL1,Plantations (Tea & Timber),0,1,KUKL,76.863,11.433,24,1
KUKL1,Settlements,0,0.5,KUKL,76.863,11.433,24,0.5
LDNH2,Agricultural Land,0,1,LVDL,76.6962,11.36707,27,1
LDNH2,Plantations (Tea & Timber),0,0.14285714285714288,LVDL,76.6962,11.36707,27,0.14285714285714288
LWSL1,Plantations (Tea & Timber),0,0.5,LWSL,76.873,11.439,28,0.5
LWSL1,Settlements,0,1,LWSL,76.873,11.439,28,1
NDVT1,Plantations (Tea & Timber),0,0.3333333333333333,NDVT,76.549,11.488,29,0.3333333333333333
NDVT2,Agricultural Land,0,1,NDVT,76.548,11.478,30,1
NDVT2,Plantations (Tea & Timber),0,0.16666666666666666,NDVT,76.548,11.478,30,0.16666666666666666
NDVT2,Settlements,0,1,NDVT,76.548,11.478,30,1
OTCM1,Agricultural Land,0,0.14285714285714285,OTCM,76.696,11.412,31,0.14285714285714285
OTCM1,Plantations (Tea & Timber),0,0.25,OTCM,76.696,11.412,31,0.25
OTCM2,Agricultural Land,0,0.14285714285714285,OTCM,76.708,11.399,32,0.14285714285714285
OTCM2,Plantations (Tea & Timber),0,0.2,OTCM,76.708,11.399,32,0.2
OTCM2,Settlements,0,1,OTCM,76.708,11.399,32,1
OTCM3,Plantations (Tea & Timber),0,0.5,OTCM,76.70851,11.38741,33,0.5
OTCM3,Settlements,0,1,OTCM,76.70851,11.38741,33,1
RNMD1,Plantations (Tea & Timber),0,1,RNMD,76.796,11.332,34,1
RNMD2,Plantations (Tea & Timber),0,0.5,RNMD,76.783,11.328,35,0.5
SMPK2,Plantations (Tea & Timber),0,1,SMPK,76.799,11.356,36,1
SMPK2,Settlements,0,1,SMPK,76.799,11.356,36,1
TMTE1,Plantations (Tea & Timber),0,0.3333333333333333,TMTE,76.705255,11.281124,37,0.3333333333333333
TMTE1,Shola Forest,0,1,TMTE,76.705255,11.281124,37,1
WLTN1,Agricultural Land,0,0.16666666666666669,WLTN,76.789,11.365,39,0.16666666666666669
WLTN1,Plantations (Tea & Timber),0,1,WLTN,76.789,11.365,39,1
WLTN1,Settlements,0,0.5,WLTN,76.789,11.365,39,0.5
WLTN2,Agricultural Land,0,1,WLTN,76.779,11.355,40,1
WLTN2,Plantations (Tea & Timber),0,0.2,WLTN,76.779,11.355,40,0.2
WTCM1,Plantations (Tea & Timber),0,1,WTCM,76.561,11.344,41,1
WTCM2,Shola Forest,0,0.5,WTCM,76.552,11.333,42,0.5
